timestep,reward
0,-7.921
10000,3.59
20000,9.337
30000,7.0705
40000,6.999
50000,6.6265
60000,8.2505
70000,9.4815
80000,8.528
90000,9.9105
100000,8.479
110000,6.6565
120000,6.3445
130000,8.163
140000,7.0645
150000,6.0185
160000,2.455
170000,5.9765
180000,8.322
190000,5.203
200000,6.517
210000,8.596
220000,7.6875
230000,5.96
240000,8.8755
250000,7.6355
260000,5.0655
270000,5.191
280000,7.572
290000,6.776
300000,6.584
310000,5.9785
320000,6.204
330000,9.9615
340000,5.6075
350000,5.811
360000,8.1825
370000,6.348
380000,5.949
390000,7.2215
400000,8.036
410000,8.993
420000,9.955
430000,9.4505
440000,6.2845
450000,5.761
460000,3.0585
470000,7.5335
480000,7.55
490000,8.117
500000,9.1545
510000,8.7375
520000,7.3345
530000,11.0335
540000,7.6235
550000,5.947
560000,8.8785
570000,7.761
580000,6.5995
590000,10.0175
600000,9.563
610000,6.86
620000,8.7975
630000,8.613
640000,6.8905
650000,9.148
660000,9.209
670000,5.8555
680000,6.4135
690000,9.102
700000,7.457
710000,7.829
720000,7.4665
730000,9.558
740000,6.632
750000,9.799
760000,7.2125
770000,8.002
780000,8.6955
790000,9.2315
800000,7.258
810000,10.456
820000,6.512
830000,8.636
840000,9.5825
850000,7.359
860000,9.355
870000,10.593
880000,12.038
890000,3.3445
900000,8.548
910000,8.233
920000,8.207
930000,11.1135
940000,13.122
950000,7.375
960000,8.4215
970000,5.9115
980000,5.359
990000,8.513
